feature,importance
average_assessment_score_60,0.1563383389229294
weighted_assessment_score_60,0.11545744128762572
missing_assessments_60,0.11520287063870091
active_learning_days_60,0.08907483011544849
vle_interaction_rows_60,0.08510853038831831
total_vle_clicks_60,0.05992423547287318
late_or_missing_assessments_60,0.04615534049005297
unique_resources_60,0.03688180877971146
assessments_submitted_60,0.030263333472140354
date_registration,0.025488589391730494
code_module_GGG,0.014671410129122266
assessments_due_60,0.014393985161451742
highest_education_Lower Than A Level,0.013269893956847776
late_submissions_60,0.01214038748859702
studied_credits,0.012088831268674306
code_module_BBB,0.012052630439843672
code_module_FFF,0.01161573469364678
num_of_prev_attempts,0.010452362927387073
has_assessment_score_60,0.009458555442324436
highest_education_A Level or Equivalent,0.007592208134333973
gender_M,0.006851743872059298
code_module_AAA,0.00670159629495966
gender_F,0.006680712190705077
code_module_CCC,0.006351357711313036
code_module_DDD,0.005902154108942044
code_presentation_2014J,0.005891216131322717
age_band_35-55,0.004511162825494209
age_band_0-35,0.0044554828402845375
has_vle_activity_60,0.004359830054754307
code_module_EEE,0.00421455030239317
highest_education_HE Qualification,0.004062752070431858
code_presentation_2014B,0.003959702959662907
code_presentation_2013J,0.00392307781454385
banked_assessments_60,0.003792177882807153
imd_band_0-10%,0.003598443597607921
imd_band_10-20,0.0032286195795942544
code_presentation_2013B,0.003027973109227432
disability_Y,0.002398305974435268
disability_N,0.002343388531620636
imd_band_30-40%,0.002208492370571672
region_Scotland,0.0020531316001445718
imd_band_20-30%,0.002022005938067765
imd_band_60-70%,0.0020015011764292242
region_North Western Region,0.0019134383131480927
imd_band_90-100%,0.001908895275749076
imd_band_70-80%,0.0018926443678841391
region_West Midlands Region,0.0018645245192817949
imd_band_40-50%,0.001862810105311269
region_East Anglian Region,0.0018552205245394428
region_Wales,0.0018138867325119526
imd_band_80-90%,0.001799524552075658
region_South Region,0.0017476851120345623
region_London Region,0.0017413724863991787
imd_band_50-60%,0.0017146420372284804
region_South East Region,0.001710948913997438
region_South West Region,0.0016501609150551416
region_East Midlands Region,0.0014411575031459706
region_North Region,0.0009183530121457843
region_Yorkshire Region,0.0008652485167130385
region_Ireland,0.0008097970961913349
highest_education_No Formal quals,0.00022624798044033586
highest_education_Post Graduate Qualification,5.603573213795179e-05
age_band_55<=,3.6708764876568395e-05
registration_date_missing,0.0
