,precision,recall,f1-score,support
Dropout,0.7682926829268293,0.6654929577464789,0.7132075471698113,284.0
Enrolled,0.3879310344827586,0.5660377358490566,0.46035805626598464,159.0
Graduate,0.8353808353808354,0.7692307692307693,0.800942285041225,442.0
accuracy,0.6994350282485876,0.6994350282485876,0.6994350282485876,0.6994350282485876
macro avg,0.6638681842634745,0.6669204876087682,0.658169296159007,885.0
weighted avg,0.7334626956749236,0.6994350282485876,0.7115981517861463,885.0
