,precision,recall,f1-score,support
At Risk,0.7148514851485148,0.658158614402917,0.6853345989558615,2194.0
Successful,0.7693017533066748,0.812804679883003,0.7904551201011378,3077.0
accuracy,0.7484348321001707,0.7484348321001707,0.7484348321001707,0.7484348321001707
macro avg,0.7420766192275948,0.7354816471429599,0.7378948595284996,5271.0
weighted avg,0.7466373844318877,0.7484348321001707,0.746699775120539,5271.0
