feature,importance
Curricular units 1st sem (approved),0.4186999033788547
Tuition fees up to date_0,0.1277304598084115
Curricular units 1st sem (grade),0.11073802513809428
Curricular units 1st sem (evaluations),0.07806183433997962
Age at enrollment,0.050492265359280766
Curricular units 1st sem (enrolled),0.035312805069129066
Previous qualification (grade),0.02038299694682028
Admission grade,0.0183793488431813
Unemployment rate,0.016116492382911504
Scholarship holder_1,0.015173331000475299
Mother's occupation_0,0.014658282758595364
GDP,0.014217189711677633
Gender_0,0.012643409424911161
Tuition fees up to date_1,0.011339307862322212
Course_9238,0.011281021695533513
Mother's occupation_9,0.009348915382608972
Inflation rate,0.007826773046037613
Course_9254,0.006195857565188515
Application mode_39,0.004842857433144271
Course_9130,0.004712134525619196
Application mode_1,0.004286221758723518
Application mode_17,0.002805366374542683
Father's occupation_4,0.002475096225873218
Application order,0.002016594300484123
Father's qualification_1,0.00022322089127034178
Father's qualification_38,4.0288776329607605e-05
Course_8014,0.0
Application mode_57,0.0
Course_33,0.0
Course_171,0.0
Application mode_16,0.0
Application mode_15,0.0
Application mode_10,0.0
Application mode_7,0.0
Application mode_42,0.0
Application mode_18,0.0
Application mode_26,0.0
Application mode_27,0.0
Application mode_53,0.0
Marital status_6,0.0
Application mode_5,0.0
Marital status_5,0.0
Marital status_3,0.0
Marital status_4,0.0
Marital status_1,0.0
Application mode_2,0.0
Previous qualification_3,0.0
Previous qualification_4,0.0
Previous qualification_6,0.0
Previous qualification_5,0.0
Previous qualification_10,0.0
Previous qualification_12,0.0
Previous qualification_14,0.0
Previous qualification_9,0.0
Previous qualification_19,0.0
Previous qualification_38,0.0
Previous qualification_39,0.0
Previous qualification_40,0.0
Previous qualification_42,0.0
Previous qualification_43,0.0
Nacionality_1,0.0
Previous qualification_15,0.0
Nacionality_6,0.0
Nacionality_11,0.0
Nacionality_13,0.0
Nacionality_14,0.0
Nacionality_21,0.0
Nacionality_22,0.0
Nacionality_24,0.0
Nacionality_25,0.0
Nacionality_26,0.0
Nacionality_32,0.0
Nacionality_41,0.0
Nacionality_62,0.0
Nacionality_100,0.0
Nacionality_101,0.0
Nacionality_103,0.0
Nacionality_2,0.0
Nacionality_105,0.0
Nacionality_108,0.0
Mother's qualification_2,0.0
Mother's qualification_1,0.0
Mother's qualification_4,0.0
Mother's qualification_5,0.0
Mother's qualification_6,0.0
Mother's qualification_3,0.0
Mother's qualification_10,0.0
Mother's qualification_11,0.0
Mother's qualification_12,0.0
Mother's qualification_14,0.0
Mother's qualification_18,0.0
Application mode_43,0.0
Application mode_44,0.0
Application mode_51,0.0
Course_9085,0.0
Course_9070,0.0
Course_9003,0.0
Course_9119,0.0
Course_9147,0.0
Course_9500,0.0
Course_9556,0.0
Course_9670,0.0
Course_9773,0.0
Course_9853,0.0
Course_9991,0.0
Daytime/evening attendance_0,0.0
Daytime/evening attendance_1,0.0
Previous qualification_1,0.0
Previous qualification_2,0.0
Marital status_2,0.0
Father's qualification_3,0.0
Father's qualification_2,0.0
Mother's qualification_44,0.0
Mother's qualification_43,0.0
Mother's qualification_41,0.0
Mother's qualification_42,0.0
Mother's qualification_40,0.0
Mother's qualification_39,0.0
Mother's qualification_35,0.0
Mother's qualification_38,0.0
Mother's qualification_37,0.0
Mother's qualification_36,0.0
Mother's qualification_30,0.0
Mother's qualification_34,0.0
Mother's qualification_29,0.0
Mother's qualification_26,0.0
Mother's qualification_9,0.0
Mother's qualification_22,0.0
Mother's qualification_19,0.0
Father's qualification_4,0.0
Father's qualification_10,0.0
Father's qualification_11,0.0
Father's qualification_6,0.0
Father's qualification_5,0.0
Father's qualification_18,0.0
Father's qualification_19,0.0
Father's qualification_20,0.0
Father's qualification_22,0.0
Father's qualification_25,0.0
Father's qualification_26,0.0
Father's qualification_12,0.0
Father's qualification_9,0.0
Mother's occupation_2,0.0
Mother's occupation_3,0.0
Mother's occupation_5,0.0
Mother's occupation_4,0.0
Mother's occupation_6,0.0
Mother's occupation_7,0.0
Mother's occupation_8,0.0
Mother's occupation_10,0.0
Mother's occupation_90,0.0
Mother's occupation_99,0.0
Mother's occupation_122,0.0
Mother's occupation_123,0.0
Mother's occupation_131,0.0
Mother's occupation_132,0.0
Mother's occupation_134,0.0
Mother's occupation_141,0.0
Father's qualification_29,0.0
Father's qualification_27,0.0
Father's qualification_34,0.0
Father's qualification_30,0.0
Father's qualification_35,0.0
Father's qualification_36,0.0
Father's qualification_37,0.0
Father's qualification_31,0.0
Father's qualification_39,0.0
Father's qualification_40,0.0
Father's qualification_42,0.0
Father's qualification_41,0.0
Father's qualification_43,0.0
Father's qualification_44,0.0
Mother's occupation_1,0.0
Father's qualification_14,0.0
Father's occupation_3,0.0
Father's occupation_2,0.0
Father's occupation_1,0.0
Father's occupation_0,0.0
Mother's occupation_194,0.0
Mother's occupation_193,0.0
Mother's occupation_192,0.0
Mother's occupation_191,0.0
Mother's occupation_175,0.0
Mother's occupation_173,0.0
Mother's occupation_171,0.0
Mother's occupation_153,0.0
Mother's occupation_152,0.0
Mother's occupation_151,0.0
Mother's occupation_144,0.0
Mother's occupation_143,0.0
Father's occupation_134,0.0
Father's occupation_5,0.0
Father's occupation_6,0.0
Father's occupation_7,0.0
Father's occupation_8,0.0
Father's occupation_9,0.0
Father's occupation_10,0.0
Father's occupation_90,0.0
Father's occupation_99,0.0
Father's occupation_101,0.0
Father's occupation_102,0.0
Father's occupation_103,0.0
Father's occupation_112,0.0
Father's occupation_122,0.0
Father's occupation_123,0.0
Father's occupation_131,0.0
Father's occupation_182,0.0
Father's occupation_181,0.0
Father's occupation_175,0.0
Father's occupation_172,0.0
Father's occupation_171,0.0
Father's occupation_163,0.0
Father's occupation_161,0.0
Father's occupation_154,0.0
Father's occupation_153,0.0
Father's occupation_152,0.0
Father's occupation_151,0.0
Father's occupation_144,0.0
Father's occupation_143,0.0
Father's occupation_141,0.0
Father's occupation_135,0.0
Father's occupation_183,0.0
Scholarship holder_0,0.0
Gender_1,0.0
Debtor_0,0.0
Debtor_1,0.0
Educational special needs_1,0.0
Displaced_0,0.0
Displaced_1,0.0
Educational special needs_0,0.0
Father's occupation_194,0.0
Father's occupation_193,0.0
Father's occupation_192,0.0
Father's occupation_195,0.0
Curricular units 1st sem (credited),0.0
International_1,0.0
International_0,0.0
Curricular units 1st sem (without evaluations),0.0
