feature,importance
Father's qualification_30,0.0
Father's qualification_31,0.0
Father's qualification_40,0.0
Father's qualification_43,0.0
Father's qualification_42,0.0
Father's qualification_41,0.0
Father's qualification_44,0.0
Father's qualification_6,0.0
Father's qualification_11,0.0
Father's qualification_10,0.0
Father's qualification_9,0.0
Father's occupation_171,0.0
Father's occupation_163,0.0
Father's occupation_161,0.0
Father's occupation_172,0.0
Father's occupation_182,0.0
Father's occupation_181,0.0
Father's occupation_175,0.0
Father's occupation_144,0.0
Father's occupation_143,0.0
Father's occupation_141,0.0
Father's occupation_135,0.0
Father's occupation_134,0.0
Father's occupation_131,0.0
Father's occupation_123,0.0
Father's occupation_122,0.0
Father's occupation_112,0.0
Father's occupation_103,0.0
Father's occupation_102,0.0
Father's occupation_101,0.0
Father's occupation_154,0.0
Father's occupation_153,0.0
Father's occupation_152,0.0
Father's occupation_151,0.0
Father's occupation_194,0.0
Father's occupation_195,0.0
Father's occupation_193,0.0
Father's occupation_192,0.0
Father's occupation_183,0.0
